Designator,Mid X,Mid Y,Rotation,Layer
D1_25,41.021178,-10.662304,90,top
D1_24,9.9812,-33.11229,90,top
D1_23,72.061156,-21.887297,90,top
D1_22,9.9812,-55.562276,90,top
D1_21,72.061156,-55.562276,90,top
D1_20,9.9812,-21.887297,90,top
D1_19,9.9812,-44.337283,90,top
D1_18,25.501189,-10.662304,90,top
D1_17,56.541167,-21.887297,90,top
D1_16,72.061156,-33.11229,90,top
D1_15,72.061156,-44.337283,90,top
D1_14,56.541167,-10.662304,90,top
D1_13,25.501189,-33.11229,90,top
D1_12,41.021178,-44.337283,90,top
D1_11,41.021178,-33.11229,90,top
D1_10,56.541167,-33.11229,90,top
D1_9,9.9812,-10.662304,90,top
D1_8,41.021178,-55.562276,90,top
D1_7,72.061156,-10.662304,90,top
D1_6,25.501189,-21.887297,90,top
D1_5,25.501189,-55.562276,90,top
D1_4,56.541167,-55.562276,90,top
D1_3,41.021178,-21.887297,90,top
D1_2,25.501189,-44.337283,90,top
D1,56.541167,-44.337283,90,top
D2_25,72.061156,-14.243704,90,top
D2_24,41.021178,-25.468697,90,top
D2_23,9.9812,-25.468697,90,top
D2_22,56.541167,-47.918683,90,top
D2_21,25.501189,-25.468697,90,top
D2_20,41.021178,-59.143676,90,top
D2_19,9.9812,-59.143676,90,top
D2_18,25.501189,-14.243704,90,top
D2_17,72.061156,-47.918683,90,top
D2_16,56.541167,-36.69369,90,top
D2_15,41.021178,-36.69369,90,top
D2_14,25.501189,-59.143676,90,top
D2_13,25.501189,-47.918683,90,top
D2_12,9.9812,-47.918683,90,top
D2_11,56.541167,-25.468697,90,top
D2_10,41.021178,-47.918683,90,top
D2_9,56.541167,-14.243704,90,top
D2_8,72.061156,-59.143676,90,top
D2_7,25.501189,-36.69369,90,top
D2_6,41.021178,-14.243704,90,top
D2_5,56.541167,-59.143676,90,top
D2_4,72.061156,-36.69369,90,top
D2_3,9.9812,-36.69369,90,top
D2_2,9.9812,-14.243704,90,top
D2,72.061156,-25.468697,90,top
D3_25,65.075567,-10.636904,90,top
D3_24,49.555578,-44.311883,90,top
D3_23,18.5156,-33.08689,90,top
D3_22,34.035589,-44.311883,90,top
D3_21,49.555578,-33.08689,90,top
D3_20,34.035589,-33.08689,90,top
D3_19,49.555578,-55.536876,90,top
D3_18,49.555578,-21.861897,90,top
D3_17,49.555578,-10.636904,90,top
D3_16,18.5156,-10.636904,90,top
D3_15,18.5156,-44.311883,90,top
D3_14,80.595556,-33.08689,90,top
D3_13,18.5156,-55.536876,90,top
D3_12,65.075567,-55.536876,90,top
D3_11,34.035589,-55.536876,90,top
D3_10,65.075567,-33.08689,90,top
D3_9,34.035589,-10.636904,90,top
D3_8,80.595556,-44.311883,90,top
D3_7,65.075567,-21.861897,90,top
D3_6,34.035589,-21.861897,90,top
D3_5,80.595556,-10.636904,90,top
D3_4,80.595556,-55.536876,90,top
D3_3,65.075567,-44.311883,90,top
D3_2,80.595556,-21.861897,90,top
D3,18.5156,-21.861897,90,top
D4_25,65.075567,-14.218304,90,top
D4_24,80.595556,-47.893283,90,top
D4_23,18.5156,-36.66829,90,top
D4_22,18.5156,-14.218304,90,top
D4_21,49.555578,-14.218304,90,top
D4_20,34.035589,-47.893283,90,top
D4_19,18.5156,-59.118276,90,top
D4_18,49.555578,-25.443297,90,top
D4_17,65.075567,-59.118276,90,top
D4_16,34.035589,-14.218304,90,top
D4_15,80.595556,-25.443297,90,top
D4_14,65.075567,-47.893283,90,top
D4_13,49.555578,-47.893283,90,top
D4_12,65.075567,-25.443297,90,top
D4_11,34.035589,-25.443297,90,top
D4_10,65.075567,-36.66829,90,top
D4_9,34.035589,-59.118276,90,top
D4_8,80.595556,-59.118276,90,top
D4_7,18.5156,-25.443297,90,top
D4_6,49.555578,-36.66829,90,top
D4_5,80.595556,-36.66829,90,top
D4_4,18.5156,-47.893283,90,top
D4_3,34.035589,-36.66829,90,top
D4_2,80.595556,-14.218304,90,top
D4,49.555578,-59.118276,90,top
